id,country,description,designation,points,price,province,region_1,region_2,variety,winery
87495,France,"Soft and rounded, this is touched by a note of vanilla that adds extra openness. With its apple and pear flavors, this is an attractive, fruity wine; it's very forward, but it shows a note of Chablis steel in the background.",,86,24.0,Burgundy,Chablis,,Chardonnay,Château de Maligny
87496,Italy,"This opens with easy aromas of wild berry, cherry, licorice and liquid smoke. The mouthfeel is smooth, crisp and medium in build.",Le Mariette,86,16.0,Veneto,Valpolicella,,"Corvina, Rondinella, Molinara",Trabucchi d'Illasi
87497,US,"This is a little too heavy and full bodied, but it's bone dry and rich in blackberry and currant flavors, with an earthiness that suggests mushrooms. Drink over the next year or two.",Henry Ranch,86,29.0,California,Los Carneros,Napa-Sonoma,Merlot,V. Sattui
87498,US,"There's lots of sweetness in this polished wine, with pretty orange, peach, vanilla and honeysuckle flavors. It would benefit from greater acidity, though, as it's a bit soft.",,86,25.0,California,Anderson Valley,Mendocino/Lake Counties,Riesling,V. Sattui
87499,US,"A tannic and ripe Petite Sirah, this has flavors of plum, dark chocolate and a serious shot of espresso. This is a big bomb of a wine that needs braised meat to match it.",Arrighi Vineyard,86,45.0,California,Clear Lake,Mendocino/Lake Counties,Petite Sirah,Vagabond
87500,South Africa,"Dainty floral aromas accent the soft strawberry and red-cherry fruit core. Bright and lifted on the palate, it has a juicy finish of mixed berry flavors.",,86,15.0,Western Cape,,,Rosé,Slowine
87501,Spain,"Crisp and likable, this smells stony and snappy, with spring pea, passion fruit and citrus aromas. It feels well cut, with green bean, grass and citrus flavors. While it hints at being vegetal, it maintains a consistent white-fruit and citrus profile.",,86,10.0,Northern Spain,Vino de la Tierra de Castilla y León,,Sauvignon Blanc-Verdejo,Storks' Tower
87502,US,"There are lots of rich, ripe blackberry, licorice and spicy flavors in this dry Malbec. It feels soft and silky in the mouth, but there's some heat from the alcohol as well as a touch of overripeness. Drink now.",Bootjack Ranch,86,28.0,California,Paso Robles,Central Coast,Malbec,Niner
87503,US,"What Americans need is a good $8 Zinfandel, and what do you know? That's just what this is. Dry as dust but sweet in fruit, with all kinds of savory spices, this is the perfect everyday wine for barbecue. Production was 8,000 cases, so it shouldn't be too hard to find.",Reserve,86,8.0,California,California,California Other,Zinfandel,Oak Grove
87504,Italy,"Light and pretty, this is aged in large oak cask for 12 months, which imparts notes of spice and toasted almond. Otherwise, the wine's core is all fruit: raspberry, cherry and currant flavors abound.",,86,13.0,Veneto,Valpolicella Classico Superiore,,"Corvina, Rondinella, Molinara",Scriani
87505,US,"This lacks Pinot's velvety richness, substituting instead an irregular mouthfeel due in part to unripe, green tannins. Makes up for it with a wealth of raspberry and cherry jam flavors and a sweet oak note. Drink now.",Robert's Vineyard,86,45.0,California,Carneros,Napa-Sonoma,Pinot Noir,Sebastiani
87506,US,"This tastes a little sweet, in the Rosenblum style, with apricot, orange and pear flavors. But it's nicely crisp in acidity, which gives it a clean finish. Delightful now as a cocktail sipper.",,86,12.0,California,California,California Other,Pinot Grigio,Rose 'N' Blum
87507,US,"The high alcohol shows through everything else, giving this Zin a chili pepper heat and a distracting Port-like sensation. It's rich and dry, with firm tannins framing the blackberry and currant flavors.",Richard Sauret Reserve,86,30.0,California,Paso Robles,Central Coast,Zinfandel,Rosenblum
87508,Italy,"With low alcohol and an easy disposition, this is the kind of red wine you can enjoy with pizza. The bouquet is redolent of red berry, cola and dried apple skin.",Rêverie,86,27.0,Veneto,Valpolicella,,"Corvina, Rondinella, Molinara",Zymè
87509,US,"Based on Merlot, this is soft and pretty simple. The flavors are of red currants, cherry jam, cola and licorice, with a smoky, caramelized sweetness from the oak.",Mon Amour,85,60.0,California,Santa Ynez Valley,Central Coast,Bordeaux-style Red Blend,Coquelicot
87510,Italy,This moderately oak-driven Barbaresco from the Basarin cru delivers rich layers of spice and vanilla lavished over wild berries and white cherries. The wine is silky and smooth with drying tannins on the close.,Basarin Vigna Gianmatè,91,52.0,Piedmont,Barbaresco,,Nebbiolo,Giacosa Fratelli
87511,Austria,"Initially smooth and rich, this slowly reveals a taut mineral character that acts as a powerful structure. Yellow fruits and mangos are woven into this texture, leaving the final acidity to suggest aging potential.",Steinporz Smaragd,91,42.0,Wachau,,,Grüner Veltliner,Gritsch Mauritiushof
87512,US,"Sourced about equally from Kiona (on Red Mountain) and Rosebud (in the Wahluke Slope), this deep, dark, well-made Syrah offers exception value. The fruit is plenty ripe, a mix of berries, raisins and plums; there is a generous chocolate note, firm tannins, and the grapes' earthy, lightly funky side displayed as well. It's all beautifully balanced.",,91,20.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Davenport Cellars
87513,US,"A lovely white Bordeaux-style blend of Sauvignon Blanc and Sauvignon Gris, rich, opulent and full-bodied. Shows citrus, tropical fruit, pear, white flower, green apple and oak-inspired vanilla flavors that change with every sip, as the wine warms in the glass.",Elevage Blanc,91,42.0,California,Napa Valley,Napa,Bordeaux-style White Blend,Chimney Rock
87514,Italy,"This 2004 Riserva Barolo opens with beautifully seasoned and savory aromas of balsam, humus, dried tobacco and white stone. The wine is firm with dusty tannins that leave a drying impression in the mouth.",Riserva,91,90.0,Piedmont,Barolo,,Nebbiolo,Ciabot Berton
87515,Italy,"Here's a ripe expression of Nebbiolo from the dry and hot 2007 vintage. You'll recognize tones of cherry, raspberry and blackberry backed by loads of spice and leather. There's a tart feeling in the mouth and the tannins are firm and tight.",Canova,91,,Piedmont,Barbaresco,,Nebbiolo,Ressia
87516,Italy,"This Riserva Serraboella Barbaresco from the tricky 2005 vintage shows nice concentration and density backed by generous aromas of smoke, ripe cherry and smoked ham. There's a touch of overripe or candied fruit that only helps add to the overall intensity. In the mouth, this wine is silky and very smooth.",Serraboella Riserva,91,,Piedmont,Barbaresco,,Nebbiolo,Rivetti Massimo
87517,Italy,"Here's an elegant and pure Barbaresco that delivers an aromatic embroidery of spice, wild berry, incense and sandalwood fragrances. The wine is firm and tart in the mouth, with an excellent balance between freshness and tannic structure.",Froi,91,,Piedmont,Barbaresco,,Nebbiolo,Rivetti Massimo
87518,Italy,"This bold wine from the acclaimed Bussia cru delivers meaty and masculine aromas of blackberry, smoked ham, vanilla bean, cured beef, nutmeg, clove and polished black stone. The thick, rich mouthfeel is irresistible and the wine is long lasting and elegant on the close.",Bussia,91,,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
87519,US,"Continues a string of successful bottlings of this Cabernet. The flavors are strong but subtle, suggesting blackberries and black currants, with earthier notes of dark chocolate and roasted almonds. Very good, but also pretty tannic. You'll want to cellar this for 5–6 years to let it mellow.",Oroppas,91,55.0,California,Napa Valley,Napa,Cabernet Sauvignon,St. Clement
87520,Italy,"Here's a rich, ripe expression of Barbaresco with loads of bright fruit followed by generous notes of exotic spice and scented candle. The wine is smooth, rich and drinkable almost immediately. Or, you could safely cellar this wine five years or more: the natural fruit promises to evolve evenly   over the years.",Campo Quadro,91,54.0,Piedmont,Barbaresco,,Nebbiolo,Punset
87521,Italy,"Despite its young age now, the 2006 Dardi Le Rose Bussia Barolo will go on record as a classy, charming wine with long aging potential. The mineral tones are well etched and are followed by luscious layers of red fruit and spice. The tannins still need time to soften.",Dardi Le Rose Bussia,91,73.0,Piedmont,Barolo,,Nebbiolo,Poderi Colla
87522,Italy,"Broglio is a vineyard in the Serralunga d'Alba area of the Langhe and this expression of Nebbiolo offers a ruby color with orange highlights, followed by aromas of cola, wild berry, lemon zest and leather. The mouthfeel is drying and firmly tannic.",Broglio,91,,Piedmont,Barolo,,Nebbiolo,Schiavenza
87523,US,"This is a beautiful Pinot Noir for drinking over the next few years. It's bone dry, and shows the classic structure you want from a Pinot Noir, with brisk acidity and gentle tannins framing spicy flavors of black cherries, pomegranates and cola.",,91,36.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Rusack
